	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	episode_key	title	season	sequence_in_season	air_date	title_upper	title_camel	johanw	memory_alpha	imdb
53	53	53	53	155	The Enemy	3	7	1989-11-04 0:00:00	THE ENEMY	The Enemy	The Enterprise investiages a distress call on a Federation planet with a particularly harsh surface and winds. The away team finds the remains of a Romulan ship and one Romulan, barely alive. The away team beams aboard the Enterprise with the Romulan, accidentally stranding Geordi on the planet where he, moments before beam-out time, stumbled into a pit. The crew of the Enterprise struggles to keep the Romulan alive and to locate Geordi on the surface. Meanwhile, on the surface, as Geordi moves closer to the beacon the Enterprise left to guide him, he is taken prisoner by a second Romulan, Bokra. Geordi attempts to convince Bokra that they must work together to stay alive and be rescued while a Romulan Warbird closes in on the Enterprise determined to retrieve their lost comrades from the grip of the Federation.	An away team from the USS Enterprise-D consisting of Commander Riker, Lieutenant Commander La Forge and Lieutenant Worf beam down to Galorndon Core, a planet inside Federation territory near the Neutral Zone, to investigate the source of a distress call that has been intercepted. Surface conditions make this difficult. Powerful electromagnetic storms on the surface are obscuring all scans. Their combadges also do not function and tricorder scans are severely limited. A crashed vessel is found, bearing the markings of a Romulan vessel. As the group splits up to investigate the area, Worf locates a Romulan survivor, alive enough to feebly attack him. Worf incapacitates the Romulan and calls for Riker. Meanwhile, La Forge falls into a large chasm and is cut-off from the rest of the away team. As the transport window closes, Worf and Riker return to the beam-out site with the wounded Romulan and are forced to return without La Forge to avoid being stranded on the planet. Inside the chasm, La Forge futilely yells Worf and Riker's names out. 	La Forge gets left behind on a storm-plagued planet when the rest of his team encounters a Romulan warrior.
54	54	54	54	156	The Price	3	8	1989-11-11 0:00:00	THE PRICE	The Price	A race of beings known as the Barzan have discovered the only known stable wormhole and are willing to sell it to the highest bidder. The Enterprise carries several delegates to the site of the wormhole including a hired representative of the Chrysalian people who takes an interest in Troi. Geordi and Data enter the wormhole and discover that it is not truly stable. Meanwhile, Troi discovers that the representative of the Chrysalians, Ral, is part Betazoid and empathic and has been using his ability to gain unfair advantage in the negotiations.	"Counselor Troi enters her quarters after what appears to be an exhausting day. She begins to read three letters from her mother, ignoring a research inquiry originating in Canada from the Manitoba Journal of Interplanetary Psychology and plans on having a ""real"" chocolate sundae from her replicator (which unfortunately cannot create it without very clear description) when she is called by Captain Picard to attend a reception in Ten Forward for delegates negotiating for the rights to the Barzan wormhole, which is about to appear visibly. After attempting to beg off, she reluctantly heads to Ten Forward, muttering sarcastically to herself about not wanting to miss seeing a wormhole. Once arriving, Picard introduces her to Premier Bhavani of Barzan II and two of the negotiators: Mendoza of the Federation and Leyor of the Caldonians. Then the third negotiator, Devinoni Ral, a Human representing the Chrysalians, introduces himself. Troi seems immediately drawn to Ral, who has an attractive female companion on his arm. Those gathered then turn their attention out the forward windows, where the Barzan wormhole – the only stable wormhole known to exist – makes itself visible, as it does every 233 minutes. Troi then turns to Ral, who is looking at her with interest, as Bhavani tells the competitors that the wormhole is theirs – for the right price. "	While the Enterprise hosts negotiations for control of a stable wormhole, Troi forms a personal relationship with an opposing negotiator, unaware of his true being.
55	55	55	55	157	The Vengeance Factor	3	9	1989-11-18 0:00:00	THE VENGEANCE FACTOR	The Vengeance Factor	A science outpost is attacked by the Gatherers, a band of Acamarian renegades. Picard talks with Marook, the Sovereign of Acamar Three, who wants to hunt the Gatherers down and destroy them. Picard convinces her to attempt to negotiate first and she and her cook board the Enterprise to travel to a Gatherer outpost to open talks. While there, the leader of the group is killed by a mysterious assassin.	Riker, Dr. Crusher, Worf, and Data beam into an unknown, very torn-apart room in a Federation outpost. After lifting a few pieces of debris, Worf observes that the reactor belonging to whomever was stationed here is missing. Crusher sees blood on a sharp metal fragment, and while scanning it with her medical tricorder, notes it is not Human blood, and will have to do more tests on it when they get back to sickbay on the USS Enterprise-D. Data detects life signs behind a door, demonstrating his superior strength and pries the door open when Worf could not. Behind it, two Federation scientists lie, stunned and unmoving… 	"The Enterprise pursues a race of ""gatherers"" who continue to raid Federation outposts, unaware of the dangers lurking among them."
56	56	56	56	158	The Defector	3	10	1989-12-30 0:00:00	THE DEFECTOR	The Defector	A Romulan scoutship, with a Romulan Warbird in pursuit, hails the Enterprise and requests asylum. After the Enterprise easily chases off the Warbird, they beam aboard the occupant of the scoutship, Setal, who has information about a new Romulan offensive. The Enterprise crew, skeptical about the defector's claims and motives and attempting to get at the truth, travels to Nelvana 3 where there is supposed to be a Romulan base at which a large Romulan fleet will gather to launch an offensive against the Federation.	As Data performs in Shakespeare's play Henry V on the holodeck, Captain Picard watches while standing nearby and applauds him that he is getting better and better with his performance. Data intends to study the Human condition through Shakespeare. They are interrupted by Commander Riker, who informs them that sensors have detected an unidentified craft in the Romulan Neutral Zone headed towards Federation space. Picard and Data leave the holodeck and discuss why a king would want to pose as a commoner. Picard tells Data to listen to what Shakespeare was saying about the man, as the king wanted to share his men's fears before they went into battle. Data asks Picard when he can schedule a performance for the crew. Picard responds that they should not rush that right now. Picard arrives on the bridge, and Riker informs him that Outpost Sierra VI has confirmed that the vessel is a Romulan scout ship. The ship hails the USS Enterprise-D and its pilot requests assistance and asylum, as he is under pursuit. The ship enters visual range and Worf displays it on the main viewer, just as a Romulan warbird decloaks, chasing the scout ship. 	When a Romulan officer defects to the Federation with a warning of a impending invasion, Capt. Picard struggles to decide if he is to be believed.
57	57	57	57	159	The Hunted	3	11	1990-01-06 0:00:00	THE HUNTED	The Hunted	The Enterprise visist Angosia 3, a planet which has applied for membership in the Federation. While there, a prisoner escapes jail and Prime Minister Narok asks for assistance in recapturing him. The Enterprise succeeds in capturing him, only to find that he is extremely dangerous and not all that Narok has claimed him to be.	At the conclusion of the tour, Captain Picard and Commander Riker congratulate Nayrok on their culture's rapid recovery from the Tarsian War, and Nayrok says their people are equally grateful; violence of any kind is abhorrent to the Angosians, who consider art and intellectual achievement to be their greatest virtues. As they are talking, Nayrok's aide, Zayner, pulls him aside with an urgent matter. In private, Picard comments that the Angosians will make a fine addition to the Federation's members. Riker agrees, although he finds the people of Angosia III somewhat stuffy.  Nayrok returns and asks for Picard's help: an Angosian prisoner has escaped from a penal colony, Lunar V, in a stolen transport vessel. Angosian security forces are trying to track him down, but, frankly, are not very well-trained or equipped. With Picard's agreement, Riker signals the USS Enterprise-D with his combadge, where Data is currently in command. The ship's sensors locate the subwarp vessel with little difficulty, but as soon as they begin pursuit, the transport ship ducks behind a nearby asteroid and jettisons its drive section, which is devoid of life readings. When the Enterprise circles around the asteroid, they locate the wreckage of the ship's main body on the surface, but Wesley Crusher reports in surprise that the drive section has meanwhile disappeared. Slightly bewildered, Data reports to an astonished Picard and Riker that the tiny vessel has successfully eluded the Galaxy-class starship. 	Investigating a planet applying for membership into the Federation, the crew of the Enterprise finds a group of inhabitants who used to be soldiers, but now fight for their very existence.
58	58	58	58	160	The High Ground	3	12	1990-01-27 0:00:00	THE HIGH GROUND	The High Ground	The Enterprise is delivering medical supplies to Rutia Four, a non-Fedration planet in the midst of a civil war, when Dr. Crusher is captured by the leader of a terrorist group who appears out of thin air.	The USS Enterprise-D is in orbit above the non-affiliated planet Rutia IV on a routine mission dropping off medical supplies. Lt. Commander Data, Lt. Worf, and Dr. Beverly Crusher are on the surface having lunch in a plaza in the city. When she calls for the waiter, a bomb explodes injuring several bystanders.  Crusher rushes over to help the wounded while Worf tries to provide security for her, knowing that their position is vulnerable. The doctor orders him to get medical supplies for the wounded. Data reminds her that the Rutians have physicians; she snaps back that none are there right now while she is. Worf and a waiter return with the improvised medical supplies. Data informs the ship about the attack, and Captain Picard orders the team to beam up, under protests from Crusher. Commander Riker suggests that if they do beam her up, he does not want to meet her on the pad when she materializes. Out of nowhere, an Ansata terrorist appears, killing a police officer before abducting Crusher, unchallenged by the two Starfleet officers remaining, or the three other officers. 	While visiting a planet under civil war, Dr. Crusher is taken hostage by an opposing faction of the planet's ruling government.
59	59	59	59	161	Deja Q	3	13	1990-02-03 0:00:00	DEJA Q	Deja Q	While on a mission to rescue a planet from its own moon which has fallen out of orbit, the Enterprise is visited once more by the mysterious Q. This time, Q, totally naked, claims he has been kicked out of the Q-Continuum and asks for sanctuary. Q is now mortal and wants guidance from the crew on how to be human, in exchange for his experience and knowledge. While on the Enterprise, Q is attacked by the Calamarians, a race that wants revenge on Q for acts done to them.	"The USS Enterprise-D is called to Bre'el IV to help them with their moon that is falling out of orbit and threatening the planet. As they explore ways of returning the moon into its orbit using the ship's tractor beam, a strange piercing sound is heard before Q suddenly tumbles from mid-air, completely naked, onto the deck of the bridge. ""Red alert,"" Q says while grinning at Captain Picard. "	Much to Picard's displeasure, Q reappears on the Enterprise, claiming to have been ejected from the Q Continuum, and therefore, lost his powers.
60	60	60	60	162	A Matter of Perspective	3	14	1990-02-10 0:00:00	A MATTER OF PERSPECTIVE	A Matter Of Perspective	Dr. Apgar, a scientist working on Krueger waves, is killed when the station he was working on suddenly explodes moments after Riker talks with him privately. Chief Investigator Krag, arrives on board the Enterprise and demands Riker be turned over to him to face trial for murder. Picard, unwilling to release Riker without a hearing convinces the Chief Investigator to allow the circumstances of the incident be recreated on the holodeck with the help of statements from all parties concerned. Meanwhile, bursts of unknown radiation, able to cause damage to metal, plague the Enterprise.	"Captain Picard is attending figure drawing class with two other crewmembers, Ensign Williams and Lieutenant Wright, and all three are painting canvasses of an unknown figure – later revealed to be a nude model. Lieutenant Commander Data enters and informs the captain that the USS Enterprise has arrived at Tanuga IV, and that the away team has completed its survey of Dr. Nel Apgar's research and is ready to return to the ship. Picard acknowledges Data while he tries to subtly get a better look at the captain's painting. Picard notices and makes a gesture allowing Data to examine his work and that of the other students. Data compliments the work of Ensign Williams and Lieutenant Wright, but he is much more critical of Picard's work, saying that it is disorganized, using too many disparate techniques. Picard grimaces while Data makes his assessment but ""thanks"" him when he feels that Data has said enough, and the android leaves. Picard enters the bridge, welcoming Lieutenant Commander La Forge back from the station. The captain asks where Commander Riker is. La Forge replies that he is still on the station where Dr. Apgar is working as Apgar wanted to speak to Riker. Although La Forge replies evenly, Picard notices some tension in his speech, and asks if there were any problems. The chief engineer seems unsure of how to reply but says that nothing went wrong with the scientific portion of the mission. Picard becomes even more curious about what happened on the station due to La Forge's explanation, but La Forge is spared when Riker's exasperated voice is heard through the communicator asking to leave the station immediately. La Forge tells the captain that Riker will explain when he returns. Chief O'Brien engages the transporter to bring Riker back, but nothing happens, and when he reads the console, he immediately calls engineering, informing them of a power drain. Without warning, the station suddenly explodes, to the horror of Picard and the bridge crew seeing the event on the viewscreen. O'Brien has not beamed Riker back yet as he is having trouble clearing the first officer's signal, but eventually Riker is brought aboard. Riker asks why O'Brien is so surprised that he brought him back; O'Brien informs him that the science station just exploded. Riker turns to the transporter, with a visibly shocked look. "	The widow of respected scientist Dr. Nel Apgar accuses Riker of seducing her and killing her husband. Rather than turn Riker over for unfavorable trial, the Enterprise reconstructs the facts.
61	61	61	61	163	Yesterday's Enterprise	3	15	1990-02-17 0:00:00	YESTERDAY'S ENTERPRISE	Yesterday'S Enterprise	The Enterprise happens upon a time-rift in space and the world changes around them as the Enterprise-C comes out of the rift. In this new reality, the Enterprise is at war with the Klingons, a war that they cannot win. Also, Tasha Yar is still alive and serving as Tactical Officer aboard the Enterprise-D. The Enterprise-C is critically damaged and was apparently involved in a fight with Romulans while in defense of a Klingon base. The crews eventually realize that, had the Enterprise-C been successful, the current war with the Klingons might never have happened. Clearly, the Enterprise-C must return even though it is likely to never survive the battle. When the Captain of the Enterprise-C is killed during a Klingon attack, Lt. Castillo asks to take the ship back through the warp himself. Meanwhile, Guinan, whose peculiar senses have told her that things are not as they should be, tells Tasha that in the true timeline, Tasha died an empty death. This convinces Tasha that she should return with the Enterprise-C as their tactical officer so that her death can have some meaning, and so she can be with Castillo with whom she has fallen in love.	"Worf is sitting alone in Ten Forward when Guinan comes over to his table and hands him a glass and asks him to try the drink. Worf tries it and is extremely surprised to find that he loves the drink. Guinan tells Worf it's an Earth drink, prune juice, which Worf refers to as ""a warrior's drink"" after taking a sip. Guinan notes that Worf always drinks alone and suggests that he seek out some companionship. However, Worf says he would need a Klingon woman for companionship as he considers Earth females to be too fragile. He then laughs loudly when Guinan tells him there are women aboard who might find him tame, a thought he considers impossible. When Guinan playfully calls him a coward for saying he'll never know when she says he should find out, Worf says he was merely concerned for the safety of his fellow crewmates. Just then, a strange phenomenon appears outside Ten Forward's windows and Worf is called to the bridge. Guinan stands up and looks toward the phenomenon and simply utters ""No."" Arriving on the bridge, Worf is told that the USS Enterprise-D has encountered what appears to be a strange temporal rift in space. Investigating, the crew are unable to confirm exactly what and precisely where the phenomenon is. Worf reports a change in sensor readings. Captain Picard turns his back on Worf and asks Data for more information, who begins to check the sensors. As a starship emerges from the rift, the bridge of the Enterprise changes. It now appears much darker and the crew's uniforms have more of a militaristic flair to them. No one present seems aware of the changes. Picard turns to the tactical station and asks if the ship that emerged is an enemy vessel. However Worf is gone, and Natasha Yar stands in his place. Troi has also disappeared. Down in a much more brightly lit Ten Forward, as Guinan clears a table, everyone is in uniform and all are armed. She straightens up and senses something isn't right, that everything has changed. As the starship clears the rift, Yar confirms it as a Federation starship and tries to access the ship's registry. Commander Riker notes the crew must have had a rough ride. Yar reads the ship's registry as NCC-1701-C, which causes Picard and Riker to turn toward her in astonishment as Yar finishes reading the name of the ship… USS Enterprise-C. "	The Enterprise C enters the Enterprise D's time and space continuum, where they find Picard and crew in a constant state of war with the Klingons, and only Guinan knows it.
62	62	62	62	164	The Offspring	3	16	1990-03-10 0:00:00	THE OFFSPRING	The Offspring	Data, after returning from a cybernetics conference, builds a robot child, Lal. While the crew attempts to deal with Data's fatherhood, Data attempts to teach Lal about humanity. Starfleet Admiral Haftel, after hearing about the experiment, attempts to convince Picard that the new robot should be moved to the Daystrom Institute where she can be properly studied and taught.	"Wesley Crusher, Geordi La Forge, and Counselor Deanna Troi are walking in a corridor to Data's lab, where he has summoned them without revealing to them why. As they are walking, they speculate about what Data might have in store for them. La Forge says that ever since returning from a cybernetics conference, Data has been spending every free second in the lab as well as keeping it locked. When they finally arrive at the lab, they find out that he has created a Soong-type android and named it Lal. The android greets them and somewhat taken aback, they realize that it calls Data ""father"", upon which Data states that, in fact, Lal is his child. "	"After returning from a cybernetics conference to the Enterprise, Data creates his own ""child,"" much to the chagrin of his captain, and without regards to the ramifications with Starfleet."
63	63	63	63	165	Sins of the Father	3	17	1990-03-17 0:00:00	SINS OF THE FATHER	Sins Of The Father	As part of the exchange program that once made Riker First Officer on a Klingon ship, Commander Kurn joins the Enterprise. Kurn is Worf's younger brother and has come to tell Worf that their father has been accused of betraying the Klingons by revealing the location of the Khitomer outpost to the Romulans. Worf, by Klingon tradition must travel to the homeworld of the Klingon empire to challenge the accusation and, if he fails, will die as a traitor.	"Wesley Crusher, Geordi La Forge, and Counselor Deanna Troi are walking in a corridor to Data's lab, where he has summoned them without revealing to them why. As they are walking, they speculate about what Data might have in store for them. La Forge says that ever since returning from a cybernetics conference, Data has been spending every free second in the lab as well as keeping it locked. When they finally arrive at the lab, they find out that he has created a Soong-type android and named it Lal. The android greets them and somewhat taken aback, they realize that it calls Data ""father"", upon which Data states that, in fact, Lal is his child. "	A Klingon commander comes aboard the Enterprise in an officer exchange program initiated by Starfleet, much to the chagrin of the crew.
64	64	64	64	166	Allegiance	3	18	1990-03-24 0:00:00	ALLEGIANCE	Allegiance	Picard is taken from the Enterprise while he sleeps by a strange probe and wakens in a prison with two other captives. Neither can explain how they came to be there nor have they seen their captors. Soon they are joined by a fourth captive - a carnivorous alien who will eat the others if they do not escape and food is not provided. In the midst of mutual dislike and lack of trust, the four captives must find a way to escape or contact their captors. Meanwhile, Picard has been replaced on the Enterprise by a nearly exact duplicate.	"Captain Picard is sitting in a comfortable chair and reading in his quarters. He falls asleep when he is scanned by a mysterious probe and transported away to an unknown room where he cannot communicate with the USS Enterprise-D. On the bridge, an unknown energy source is detected by Data in the captain's quarters. The captain doesn't answer when paged, so a security team led by Lieutenant Worf immediately heads to investigate. Picard finds himself in a black holding cell with lights and with two others: an unconscious female Bolian Starfleet cadet, and a Mizarian, both on bunks. Picard taps his combadge to contact the Enterprise, but receives no response. Outside Picard's quarters, Worf attempts to open the door, when ""the captain"" stands there, holding a book and glass, and calmly asks Worf if something is the matter.  "	Picard is kidnapped and held with three different aliens and meanwhile replaced with a replica as impostor captain.
65	65	65	65	167	Captain's Holiday	3	19	1990-03-31 0:00:00	CAPTAIN'S HOLIDAY	Captain'S Holiday	Picard is talked into taking a vacation on Risa, a pleasure planet. When he arrives, he bumps into a women who, pursued by a Ferengi, grabs him and kisses him as if they were old friends. They later meet again and, after introductions, Picard discovers that she is out to find the location of a device brought from the future. The Ferengi also wants the device or the disk that the woman, Vash, has that reveals the location of the device. Meanwhile, two security agents from the future confront Picard and tell him that he is destined to find the device and they have come back in time to retrieve it from him. Vash and Picard team up to find he device and thwart the Ferengi but, Picard hopes to turn it over to the security agents.	"Two aliens, a male and a female, beam to a resort on the surface of the planet Risa. The female queries the resort's computer about the location of Jean-Luc Picard's room, only to be informed that he hasn't arrived yet. When asked when he will arrive, the computer states it has no reservation on file under that name. While the male wonders about the situation, the female simply states, ""He will come."" Elsewhere, the USS Enterprise-D is returning from a two-week mission on Gemaris V, where Picard mediated a commercial treaty between two very stubborn participants, the Gemarians and the Dachlyds. Counselor Troi was with him, and tells Commander Riker how difficult it was for the captain to come up with the agreement. Picard arrives on the bridge, orders the ship to Starbase 12, and then goes to his ready room. Picard doesn't show any joy when Riker congratulates him on negotiating the treaty, so Troi suggests to Riker that what their captain really needs is a vacation. "	After mediating a difficult trade agreement, Captain Picard is encouraged to take a much needed rest on a vacationing planet, where he's visited by a strange race from the future, in search of a dangerous weapon.
66	66	66	66	168	Tin Man	3	20	1990-04-21 0:00:00	TIN MAN	Tin Man	" The Hood unexpectedly joins the Enterprise and delivers their new orders and a passenger, Tam Elbrun. Tam is a Betazoid telepath and specializes in first-contacts but, he is also not well liked because he lacks tact. Tam explains that a recently discovered object in orbit around a dying star is suspected of being a living spaceship, dubbed ""Tin Man"" and Tam's mission is to contact it. However, the Romulans claim that space and are also sending ships to contact the newly discovered alien.  "	"As an initial step in the process surveying systems for Federation colonization, the USS Enterprise-D is on routine assignment preparing detailed exospheric charts of the Hayashi system, when the USS Hood is detected by Worf on long-range sensors rapidly approaching on an intercept course – a rather odd appearance as they weren't expecting a rendezvous. Captain Robert DeSoto of the Hood, a long-time friend of Captain Picard, as well as Commander Riker's former captain, hails the Enterprise on a secure channel. Both captains engage in small talk with DeSoto pointing out while the ""Galaxy-class boys"" explore the unknown, he just ""hauls"" himself back and forth between starbases, but not today. He informs them that Starfleet has new orders and they require the best ship and crew, which is the Enterprise. However, these new orders are time-critical, because of security concerns of Romulan subspace surveillance, the orders are being conveyed to the Enterprise via mission specialist Tam Elbrun. The fact that this new mission is being spearheaded by Tam Elbrun causes concern among many of the command personnel of the Enterprise, particularly Commander Riker due to Tam Elbrun's involvement in the Ghorusda Disaster, which had cost the lives of forty-seven Starfleet personnel, among them Captain Darson of the USS Adelphi and two of Riker's Academy classmates. Many people, including Riker, place the blame squarely on Tam Elbrun for this tragedy. Counselor Deanna Troi asks the captain if she may come with him and Data to greet Tam in a transporter room and discloses that she had previously known Tam Elbrun as a patient at the university on Betazed where she was studying psychology. This concerns Picard greatly. "	The Enterprise reaches out to an alien being, while dancing around with the Romulans, who want to attack it in an act of vengeance.
67	67	67	67	169	Hollow Pursuits	3	21	1990-04-28 0:00:00	HOLLOW PURSUITS	Hollow Pursuits	A young engineer, Lt. Barclay, is obsessed with fantasy worlds because has problems coping with reality and the crew of the Enterprise have problems coping with him. Meanwhile, strange malfunctions start occurring on the Enterprise.	"Lieutenant Reginald Barclay, a new and brilliant engineer, relaxes in Ten Forward when Counselor Troi enters. Guinan, tending bar, warns Barclay that she doesn't want trouble here. Barclay questions why there'd be trouble, and she answers that wherever Barclay goes, trouble seems to follow. Chief Engineer Geordi La Forge enters and browbeats Barclay for being derelict; he's supposed to be on duty at this current moment. Barclay exhibits gross insubordination, tells La Forge to ""take himself and his holier-than-thou attitude and get out of his life"", and shoves La Forge so hard he sprawls against a booth near the starboard wall.  Commander Riker approaches from the other end of the bar, strangely not looking shocked or angered, and tells Barclay that what he has just done is insubordination, to which Barclay toasts after glancing at Troi. Riker makes a grab for him, but Barclay reverses and suddenly has Riker in a choke hold. Barclay tells Riker that he's nothing more than ""a pretty mannequin in a fancy uniform"", full of hot air. If Captain Picard has something to say to him, he should come and say it to Barclay himself. Barclay releases Riker hard, slamming him on the bar. As this happens, La Forge finally recovers from his sprawl and runs out of Ten Forward. Troi, watching these events, seems worried over what she senses from Barclay. Indeed, as Barclay joins her, she says that she senses his confidence and arrogant resolve, and that it excites her. They're just about to kiss, when suddenly an unknown officer's voice pipes up on the intercom, and tells Barclay to report to Cargo Bay 5, now. Barclay tells Troi that it (whatever they were going to do) will have to wait until later, and annoyed, tells the voice he'll be right there.  Then he stands near the entrance to Ten Forward, and says, ""Save program,"" and everything disappears, leaving the yellow hologrid of the holodeck. Barclay has been running a holodeck simulation of his delusions of grandeur, and his attitude as shown on his face indicates a far more timid, hesitant personality than the one he had put on display in the holographic Ten Forward. In Cargo Bay 5, the real La Forge and Riker are overseeing the beam-in of several containers on the cargo bay's transporter pad. La Forge tells Riker that he is basically at his wit's end when dealing with Barclay, that he is always late and never gives his best effort, and questions how someone like Barclay could have even made it through the Academy. Riker says he'll speak to the captain about ""Broccoli"", then explains that this is the nickname Wesley has given Barclay, and tells La Forge to keep it to himself; La Forge notes that the nickname is apt. Duffy, the officer working with the canisters has now placed them on an anti-grav sled, and informs La Forge that one of the canisters has a broken seal; indeed we see vapor pouring from the front middle canister. La Forge tells Duffy to destroy the broken canister, as the samples inside will be tainted. The cargo bay doors open and finally Barclay arrives. Upon spotting his two superiors he moves behind several red barrels to try to hide, but they've seen him, and La Forge asks him if it is a problem to report to duty on time. Barclay makes up some lame story about having received a communique that required his immediate attention, but La Forge doesn't want to hear it. He cools off, though, and tells Barclay about the anti-grav platform's difficulty. Barclay moves to follow his orders, but Riker grabs his arm, and tells him he's tired of seeing him disciplined by his superiors; he doesn't know how things were done on Barclay's last posting, but here on the Enterprise, there is a different standard set for the crew. Riker walks out, casting dark glances back towards Barclay. "	"A shy member of the ""Enterprise"" crew becomes addicted to the holodeck, where relationships are easier than in real life, when his knowledge is needed in engineering."
68	68	68	68	170	The Most Toys	3	22	1990-05-05 0:00:00	THE MOST TOYS	The Most Toys	Data is using the shuttles to transfer a large cargo of a special element that cannot be transported when, on the last trip, his shuttle mysteriously explodes. The Enterprise is forced to leave the area to deliver their cargo and are not able to investigate the accident. Meanwhile, Data has not been destroyed but captured by Kavis who is a collector of rare and unique things and Data would be a fine addition to his collection.	The USS Enterprise-D is procuring 108 kilos of hytritium, a rare and volatile element needed to treat a tricyanate-poisoned water supply on the colony planet Beta Agni II. The seller is a trader named Kivas Fajo, his ship, the Jovis. Transport of the hytritium through the transporter is not advisable so Lt. Commander Data is making the trips via the shuttlepod Pike. As Data makes his last transport, a woman named Varria asks him to confirm the last transport with his fingerprint. Suddenly, Data is electrically shocked and disabled the moment he presses his thumb to the device. Varria then scans him to ascertain his components and a technician records the readings. Data's last transmission to the Enterprise is for Shuttlebay 2 to receive him. The Enterprise crew monitor Data as the Pike explodes in transit, and the shocked crew assumes that he was destroyed in the explosion. 	When transporting a dangerous material to the Enterprise, Data is kidnapped and the crew is led to believe he is dead when the shuttlecraft he was piloting explodes en route.
69	69	69	69	171	Sarek	3	23	1990-05-12 0:00:00	SAREK	Sarek	Ambassador Sarek comes aboard the Enterprise with his staff and new, human wife, to complete treaty negotiations with the Legarans who insisted on him mediating. Soon after his arrival, the crew of the Enterprise begin to suffer from bouts of violence and other emotional outbursts. Eventually, the crew discovers that Sarek is suffering from a rare Vulcan disease that erodes all emotional control in Vulcans. Since Vulcans are highly telepathic, he has been broadcasting emotions to the crew. But, because of his illness, the important treaty with the Legarans is in jeopardy.	Ambassador Sarek of Vulcan is called aboard the USS Enterprise-D to fulfill his latest diplomatic duty, a treaty with a mysterious race known as the Legarans. Captain Jean-Luc Picard and Commander William T. Riker are in dress uniforms and walking down a corridor on their way to meet the ambassador. Picard explains to Riker how as a lieutenant, he became tongue-tied the first time he met Sarek briefly at his son's wedding. Riker then asks Picard if the rumors that Sarek will be retiring after these negotiations are true, and the captain confirms that it's unofficial but true, and the successful negotiations with the Legarans will be considered a perfect way to end such an exemplary career. They enter the transporter room and Sarek's aides, Ki Mendrossen and Sakkath, are beamed aboard. Mendrossen advises that Sarek is not a young man anymore and though Sarek may wish to attend the events that the Enterprise has prepared for him, he says that it is ill-advised because Sarek will tire too easily. He must be ready to negotiate with the Legarans when the Enterprise arrives at Legara IV. Picard says that they have readied a Mozart concert for him. Sarek and his wife, Perrin, are then beamed on board the Enterprise by Chief O'Brien. He introduces his wife, who, like his first wife, is Human. Sarek tells Picard he wishes to visit the conference room intended for the Legarans, contrary to Mendrossen's wishes. Mendrossen interjects to say that he should rest, but Sarek is insistent on visiting the conference room, telling Picard they worry about his health too much. 	Legendary Federation ambassador Sarek visits the Enterprise to conclude peace talks with a race called the Legarans. His arrival is accompanied with a rash of unusual emotional outbursts among the crew.
70	70	70	70	172	Ménage à Troi	3	24	1990-05-26 0:00:00	MÉNAGE À TROI	Ménage À Troi		"Commander Riker plays a version of three-dimensional chess against the Ferengi Nibor in Ten Forward as an Algolian musician plays ceremonial rhythms. He wins comfortably, and the Ferengi claims to have been distracted by the music. Meanwhile, Lwaxana Troi tries once again to assist in Deanna Troi's love life. However, it is she who is ""found exotic"" by DaiMon Tog, much to initial skepticism of Doctor Farek. When Tog attempts to proclaim his affections to her, as well as being interested in her Betazoid telepathy, she very loudly spurns him, humiliating him in front of the entire reception. He does not give up, however, finding her ""exhilarating."" Farek, noting that Tog has embarrassed them, asks that they return to their ship. Tog declares that Lwaxana Troi will be his. "	When Deanna's mother spurns advances made by a Ferengi Daimon, he takes it upon himself to kidnap the two of them, along with Commander Riker and steal them away aboard his ship.
71	71	71	71	173	Transfigurations	3	25	1990-06-02 0:00:00	TRANSFIGURATIONS	Transfigurations	The Enterprise rescues an injured human from a damaged escape pod in an unexplored system. Dr. Crusher finds that his recuperative powers are incredible and that he will revive, given time. When he does, he has no memories of who he is, where he is from, or how his ship was wrecked. Still suffering from bouts of severe pain, Dr. Crusher finds that he is emitting inixplicable energy bursts which are somehow linked to his cells. Furthermore, he begins to exhibit strange abilities like being able to heal injuries with the energy bursts.	The Enterprise is exploring an uncharted star system within the Zeta Gelis star cluster, when the ship discovers a faint life sign and debris from a small ship crashed on one of the planets.  La Forge is sitting at the bar in Ten Forward having drinks with Worf. La Forge says that he is interested in Christy Henshaw who is sitting at a nearby table with a friend, but he is too shy to approach her. Henshaw comes over to the bar to leave her and her friend's empty glasses. She tries to strike up a conversation, but La Forge is tongue-tied. Then Commander Riker contacts him from the bridge and he leaves Worf.  On the surface, the away team locates the crashed vessel, with a single badly-injured occupant. Dr. Beverly Crusher scans him and says that his brain stem has been damaged and his involuntary nervous functions are not stable enough for transport up to the ship. She asks for a volunteer, and La Forge steps forward.  She establishes a neural link between La Forge and the alien, to allow La Forge's brain to regulate both nervous systems and stabilize the alien until they can beam up to the Enterprise. Crusher advises La Forge to breathe normally and that she will terminate the link between them if anything goes wrong. When the connection is made, an energy discharge enters La Forge's mind, and he inhales sharply, but assures Crusher that he's fine. As soon as the alien stabilizes, all three of them are beamed directly to sickbay. 	The Enterprise finds a deserted planet where a ship has crashed, and, with it, the lone survivor with no memory, but extraordinary healing powers.
